index,ID,SMILES,InChIKey,Solubility,split
23,A-1027,Nc1ccc(\C=C\c2ccc(N)cc2[S](O)(=O)=O)c(c1)[S](O)(=O)=O,REJHVSOVQBJEBF-OWOJBTEDSA-N,-4.0635303796,1
24,A-1028,[Zn++].Cc1cccc2[N-]C(=S)Nc12.Cc3cccc4NC(=S)[N-]c34,GHPJYLIEFFVDGR-UHFFFAOYSA-L,-4.0879587895,1
25,A-1029,OC(=O)CC[P](O)(=O)c1ccccc1,MORLYCDUFHDZKO-UHFFFAOYSA-N,-0.8283051545,1
26,A-1030,O=[S](Cc1ccccc1)Cc2ccccc2,HTMQZWFSTJVJEQ-UHFFFAOYSA-N,-2.8588087212,1
27,A-1032,CC(C)(N=NC(C)(C)C#N)C#N,OZAIFHULBGXAKX-UHFFFAOYSA-N,-2.7132509977,1
28,A-1033,CCC(C)COC(=O)C=C,NCTBYWFEJFTVEL-UHFFFAOYSA-N,-2.6532064055,1
29,A-1034,Clc1sc2ccccc2n1,BSQLQMLFTHJVKS-UHFFFAOYSA-N,-2.7325883752,1
30,A-1035,CC1=CC(=O)N(O)C(=C1)C2CCCCC2.NCCO,MBRHNTMUYWQHMR-UHFFFAOYSA-N,-0.9331685906,1
31,A-1038,Clc1ccc2c(Cl)ccnc2c1,HXEWMTXDBOQQKO-UHFFFAOYSA-N,-2.8026246384,1
32,A-1041,Nc1ccccc1[S](O)(=O)=O,ZMCHBSMFKQYNKA-UHFFFAOYSA-N,-1.7471686412,1
33,A-1042,[Ti+4].CC(C)[O-].CC(C)[O-].CC(=O)[CH-]C(C)=O.CC(=O)[CH-]C(C)=O,DOOBMVWXHWRGEB-UHFFFAOYSA-N,-2.0700509817,1
34,A-1043,CC(=O)Nc1ccc(cc1)[S](Cl)(=O)=O,GRDXCFKBQWDAJH-UHFFFAOYSA-N,-2.8772524161,1
35,A-1050,CCC(=O)OC1C(C)CCCC1(C)C,JFBKOWCEVLNQHV-UHFFFAOYSA-N,-3.8031812605,1
36,A-1051,COC(=O)c1ccc(cc1)C(=O)OC,WOZVHXUHUFLZGK-UHFFFAOYSA-N,-3.796856222,1
37,A-1052,CCCCCCCC1CCCC1=O,PJXHBTZLHITWFX-UHFFFAOYSA-N,-3.7694416506,1
38,A-1053,O=C(Cc1ccccc1)OCc2ccccc2,MIYFJEKZLFWKLZ-UHFFFAOYSA-N,-3.8632748797,1
39,A-1056,CN(C)C(=S)SC(=S)N(C)C,REQPQFUJGGOFQL-UHFFFAOYSA-N,-2.8302990647,1
40,A-1058,C[C@@H](CCO)CCC=C(C)C,QMVPMAAFGQKVCJ-SNVBAGLBSA-N,-2.7067344575,1
41,A-1059,CCC(=O)C(C)CC=C(C)C,WKQWDIFHKYWRTA-UHFFFAOYSA-N,-2.7010952437,1
42,A-106,CCOC(=O)CC(C)CC(C)(C)C,NMZMQQBBZRGLPJ-UHFFFAOYSA-N,-3.8230431676,1
43,A-1060,Cc1cc(C)c(N)c(c1)[S](O)(=O)=O,CFCXQQUQLZIZPI-UHFFFAOYSA-N,-1.8195435039,1
44,A-1062,s1cccc1,YTPLMLYBLZKORZ-UHFFFAOYSA-N,-1.4450110492,1
45,A-1065,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2,IISBACLAFKSPIT-UHFFFAOYSA-N,-2.8799222949,1
46,A-1066,ClC(Cl)(Cl)C=O,HFFLGKNGCAIQMO-UHFFFAOYSA-N,-0.691340871,1
47,A-1067,CCC(C)CO,QPRQEDXDYOZYLA-UHFFFAOYSA-N,-0.4681010619,1
48,A-1068,CC(C)CCO,PHTQWCKDNZKARW-UHFFFAOYSA-N,-0.4681010619,1
49,A-1069,[Na+].[Na+].[Na+].[Na+].CC(=O)Nc1ccc(c2C=C(/C(=N/Nc3ccc(N=Nc4ccc(cc4)[S]([O-])(=O)=O)c5ccc(cc35)[S]([O-])(=O)=O)C(=O)c12)[S]([O-])(=O)=O)[S]([O-])(=O)=O,AGKKBBSOKGLVTM-YENKNCRGSA-J,-1.4612448391,1
50,A-1070,s1cnc2ccccc12,IOJUPLGTWVMSFF-UHFFFAOYSA-N,-1.6538265258,1
51,A-1073,OC(=O)c1cccc(c1)[N+]([O-])=O,AFPHTEQTJZKQAQ-UHFFFAOYSA-N,-1.7459071723,1
52,A-1074,O=[Mo]=O,QXYJCZRRLLQGCR-UHFFFAOYSA-N,-3.7396436363,1
53,A-1076,O=C1Nc2ccccc2C(=O)O1,TXJUTRJFNRYTHH-UHFFFAOYSA-N,-2.735417906,1
54,A-1077,OC(c1ccccc1)C(=O)c2ccccc2,ISAOCJYIOMOJEB-UHFFFAOYSA-N,-2.8497223519,1
55,A-1080,CCCCCCCCO,KBPLFHHGFOOTCA-UHFFFAOYSA-N,-2.6375931207,1
56,A-1082,O=[Te]=O,LAJZODKXOMJMPK-UHFFFAOYSA-N,-3.7156062333,1
57,A-1085,COC(=O)COc1nc(F)c(Cl)c(N)c1Cl,GIIKFBXVGYJLEK-UHFFFAOYSA-N,-3.9512810281,1
58,A-1088,CC(C)=CCCC(C)(OC(C)=O)C=C,UWKAYLJWKGQEPM-UHFFFAOYSA-N,-3.8157769203,1
59,A-109,[Ca++].[O-][Si]([O-])=O,OYACROKNLOSFPA-UHFFFAOYSA-N,-2.6500869941,1
60,A-1091,CC(C)(C)c1cccc(c1O)C(C)(C)C,DKCPKDPYUFEZCP-UHFFFAOYSA-N,-4.7135873776,1
61,A-1092,COc1ccc(cc1O)[C@@H]2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)cc3O2,ARGKVCXINMKCAZ-UZRWAPQLSA-N,-5.1858488331,1
62,A-1093,[Ce+3].[Ce+3].[O-]C([O-])=O.[O-]C([O-])=O.[O-]C([O-])=O,GHLITDDQOMIBFS-UHFFFAOYSA-H,-5.0664023631,1
63,A-1094,CCCCC(CC)COC(C)=O,WOYWLLHHWAMFCB-UHFFFAOYSA-N,-4.6451400046,1
64,A-1095,CCCCCCCCC(C)C#N,XPCSGXMQGQGBKU-UHFFFAOYSA-N,-4.6324209502,1
65,A-1096,CCN1C(=O)C(=N/Nc2ccc(Cl)cc2[N+]([O-])=O)/C(=C(C#N)C1=O)C,PJLZYPHMHUHUMN-CPNJWEJPSA-N,-4.96733793,1
66,A-1097,CC(C)CCCC=C,DFVOXRAAHOJJBN-UHFFFAOYSA-N,-4.458990177,1
67,A-1098,ClCCc1cc2CC(=O)Nc2cc1Cl,ZTQQXEPZEYIVDK-UHFFFAOYSA-N,-4.7775740697,1
68,A-1099,CCCCOCCOC(=O)CCCCC(=O)OCCOCCCC,IHTSDBYPAZEUOP-UHFFFAOYSA-N,-4.9587331394,1
69,A-11,CCC1CCC(CCC(O)=O)C1,WVRFSLWCFASCIS-UHFFFAOYSA-N,-3.286116314,1
70,A-1100,CC(c1ccccc1)c2ccccc2,BSZXAFXFTLXUFV-UHFFFAOYSA-N,-4.6925039386,1
71,A-1101,Cc1ccccc1Cc2ccccc2,PQTAUFTUHHRKSS-UHFFFAOYSA-N,-4.6925039386,1
72,A-1104,[Nd+3].[Nd+3].[O-]C([O-])=O.[O-]C([O-])=O.[O-]C([O-])=O,UTWHRPIUNFLOBE-UHFFFAOYSA-H,-5.1084204387,1
73,A-1105,CC(=O)O[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C)C(C)=O,MTSLFKWJINJVBO-ZCPXKWAGSA-N,-4.9957539374,1
74,A-1106,OC(=O)c1cc(Nc2ccccc2)c(cc1Nc3ccccc3)C(O)=O,ZJQZWNLKRBUEKX-UHFFFAOYSA-N,-4.9857232877,1
75,A-1107,O=C(OCc1ccccc1)/C=C/c2ccccc2,NGHOLYJTSCBCGC-VAWYXSNFSA-N,-4.8207960263,1
76,A-111,CCc1ccc(C)nc1,NTSLROIKFLNUIJ-UHFFFAOYSA-N,-1.0042604536,1
77,A-1110,O=C1N=C(NC(=N1)c2ccccc2)c3ccccc3,KODLDJGSBFMSDG-UHFFFAOYSA-N,-5.4935852535,1
78,A-1111,[O--].[O--].[O--].[Gd+3].[Gd+3],CMIHHWBVHJVIGI-UHFFFAOYSA-N,-5.0152363724,1
79,A-1112,CC(C)C(=O)OC(C)(CCC=C(C)C)C=C,JZIARAQCPRDGAC-UHFFFAOYSA-N,-4.8105849842,1
80,A-1113,Cc1cc(C)c(c(C)c1)C(=O)[P](=O)(c2ccccc2)c3ccccc3,VFHVQBAGLAREND-UHFFFAOYSA-N,-5.010576791,1
81,A-1114,CCCCC(CC)C(=O)OCC(C)(C)COC(=O)C(CC)CCCC,GORMSINSWZJIKL-UHFFFAOYSA-N,-5.0206378696,1
82,A-1115,[O--].[O--].[O--].[O--].[O--].[Ti+4].[Zr+4].[Pb++],HFGPZNIAWCZYJU-UHFFFAOYSA-N,-5.0982221528,1
83,A-1116,CCOC(=O)C1C(C=C(C)C)C1(C)C,VIMXTGUGWLAOFZ-UHFFFAOYSA-N,-4.7652682741,1
84,A-1119,NC(=O)c1ccc(NC(=O)c2ccc(cc2)[N+]([O-])=O)cc1,FANLHXKNWWSLIG-UHFFFAOYSA-N,-4.9367254155,1
85,A-1120,CC(=O)c1cc(cc2c1CCC2(C)C)C(C)(C)C,IKTHMQYJOWTSJO-UHFFFAOYSA-N,-4.8708662082,1
86,A-1121,COc1cc(N[S](=O)(=O)c2ccc(C)cc2)c3C(=O)c4ccccc4C(=O)c3c1N,BXIGAWRFDMDLTL-UHFFFAOYSA-N,-5.1125700507,1
87,A-1122,[H+].[Mn++].Cc1cc(c(cc1Cl)N=Nc2c([O-])c(cc3ccccc23)C([O-])=O)[S]([O-])(=O)=O,FXKOYCHIRMCIOR-UHFFFAOYSA-L,-5.1704010781,1
88,A-1123,Cc1ccc(Nc2cc(C(O)=O)c(Nc3ccc(C)cc3)cc2C(O)=O)cc1,FVLUGNOOEZYDNV-UHFFFAOYSA-N,-5.0705134819,1
89,A-1125,COc1cc(NC(=O)c2cc3ccccc3cc2O)c(OC)cc1Cl,QIHKTBRNOLQDGQ-UHFFFAOYSA-N,-5.0622701458,1
90,A-1126,CCCCC(CC)COC(=O)C(C)=C,WDQMWEYDKDCEHT-UHFFFAOYSA-N,-4.8059741607,1
91,A-1127,CCCCC(CC)CCl,WLVCBAMXYMWGLJ-UHFFFAOYSA-N,-4.6808820955,1
92,A-1128,NC(=O)c1ccc(NC(=O)c2ccc(N)cc2)cc1,FSPYMSUDIVFOHY-UHFFFAOYSA-N,-4.9156499936,1
93,A-1129,C.CCCCCCCCCCCCO,WWYHAQDAMPXWSI-UHFFFAOYSA-N,-4.8148101896,1
94,A-113,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)[C@H](C)O,UJNOLBSYLSYIBM-NOOOWODRSA-N,-2.9799872046,1
95,A-1132,C=CC(=O)OCCCCCCCCCCOC(=O)C=C,RHNJVKIVSXGYBD-UHFFFAOYSA-N,-4.9608754545,1
96,A-1133,C[C@H]1CC(=O)C[C@@H]2CC[C@H]3[C@@H]4CC[C@H](O)[C@@]4(C)CC[C@@H]3[C@@]12C,UXYRZJKIQKRJCF-TZPFWLJSSA-N,-5.0064289581,1
97,A-1134,CC1(C)CC2(CC(C)(C)N1)OC3(CCCCCCCCCCC3)NC2=O,IVVLFHBYPHTMJU-UHFFFAOYSA-N,-5.0846644385,1
98,A-1135,CCC(C)(C)c1ccc(O)c(c1)C(C)(C)CC,WMVJWKURWRGJCI-UHFFFAOYSA-N,-4.892804854,1
99,A-1137,CCCCC(CC)COC(=O)CS[Sn](C)(SCC(=O)OCC(CC)CCCC)SCC(=O)OCC(CC)CCCC,ACRNSUGLVQJCOM-UHFFFAOYSA-K,-5.3942922935,1
100,A-1139,ClC(=O)OCCOCCOC(Cl)=O,XFSAZBKSWGOXRH-UHFFFAOYSA-N,-4.8865490032,1
101,A-114,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,OIGNJSKKLXVSLS-VWUMJDOOSA-N,-3.1784471289,1
102,A-1140,[Lu+3].[Lu+3].[O-]C(=O)C([O-])=O.[O-]C(=O)C([O-])=O.[O-]C(=O)C([O-])=O,WBXXVIQNIMIONY-UHFFFAOYSA-H,-5.3110386285,1
103,A-1141,OCc1cccc(Oc2ccccc2)c1,KGANAERDZBAECK-UHFFFAOYSA-N,-2.8258731416,1
104,A-1143,O=C1CCCCCCCCCCCN1,JHWNWJKBPDFINM-UHFFFAOYSA-N,-2.8195043204,1
105,A-1144,COC(=O)\C=C\c1ccccc1,CCRCUPLGCSFEDV-BQYQJAHWSA-N,-2.7343475301,1
106,A-1145,CSc1cc(SC)c(N)c(C)c1N,TXDBDYPHJXUHEO-UHFFFAOYSA-N,-2.8569254583,1
107,A-1148,COc1ccc(\C=C\C)cc1OC,NNWHUJCUHAELCL-SNAWJCMRSA-N,-2.7782267945,1
108,A-1149,Cc1ccc2cccc(O)c2n1,NBYLBWHHTUWMER-UHFFFAOYSA-N,-1.7306186153,1
109,A-115,[Na+].[Na+].Cc1ccc(Nc2ccc(Nc3ccc(C)cc3[S]([O-])(=O)=O)c4C(=O)c5ccccc5C(=O)c24)c(c1)[S]([O-])(=O)=O,FPAYXBWMYIMERV-UHFFFAOYSA-L,-1.4270312571,1
110,A-1152,[Co++].CCC1CCC(CCC([O-])=O)C1.CCC2CCC(CCC([O-])=O)C2,XSWKLHINRKWMTD-UHFFFAOYSA-L,-3.1323831914,1
111,A-1153,CC(C)(COCCCOC(=O)C=C)COCCCOC(=O)C=C,NQGDHQASSFDDLD-UHFFFAOYSA-N,-3.0495421403,1
112,A-1154,CCCCCOC=O,DIQMPQMYFZXDAX-UHFFFAOYSA-N,-1.6020599913,1
113,A-1155,COC(=O)c1cccc(c1)C(=O)OC,VNGOYPQMJFJDLV-UHFFFAOYSA-N,-2.825819918,1
114,A-1156,C=Cc1ccccc1,PPBRXRYQALVLMV-UHFFFAOYSA-N,-2.5552696161,1
115,A-1157,CCCCCCOC(=O)C(C)=C,LNCPIMCVTKXXOY-UHFFFAOYSA-N,-3.7554210341,1
116,A-1158,Clc1cc(Cl)c(Cl)nc1Cl,FATBKZJZAHWCSL-UHFFFAOYSA-N,-3.8614246907,1
117,A-116,[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[Al+3].[Al+3].[Mo].[Mo],CTVFHFFURJHNAT-UHFFFAOYSA-N,-4.2291529922,1
118,A-1160,Nc1scc(n1)c2ccc3ccccc3c2,GWDNDNTTXIIXRS-UHFFFAOYSA-N,-4.849542252,1
119,A-1161,CCCCCC(CO)Cc1ccccc1,CGMOOAUESLSUKM-UHFFFAOYSA-N,-3.8432685623,1
120,A-1163,CCCCCCCCCC=O,KSMVZQYAVGTKIV-UHFFFAOYSA-N,-3.7255255026,1
121,A-1165,CC(=O)OC/C=C(C)/CCC=C(C)C,HIGQPQRQIQDZMP-DHZHZOJOSA-N,-3.8305001771,1
122,A-1167,CC(CC/C=C(C)/CCC=O)C=C,QVEOSYKPYFNQAZ-XYOKQWHBSA-N,-3.7935760497,1
123,A-1168,COC(=O)C(F)(F)F,VMVNZNXAVJHNDJ-UHFFFAOYSA-N,-0.6479837034,1
124,A-117,CC(=C)C(=O)OCCOc1ccccc1,CEXQWAAGPPNOQF-UHFFFAOYSA-N,-2.9526471698,1
125,A-1170,CCOc1cc(C=O)ccc1O,CBOQJANXLMLOSS-UHFFFAOYSA-N,-1.7642022678,1
126,A-1172,CC(=O)CCc1ccccc1,AKGGYBADQZYZPD-UHFFFAOYSA-N,-1.7160179957,1
127,A-1173,COc1cc(NC(=O)CC(C)=O)c(OC)cc1Cl,MOUVJGIRLPZEES-UHFFFAOYSA-N,-2.9792447784,1
128,A-1174,CC(=O)OC\C=C\c1ccccc1,WJSDHUCWMSHDCR-VMPITWQZSA-N,-2.7927245342,1
129,A-1177,CC(=O)Oc1ccc(cc1C2C(=O)Oc3ccc(cc23)C(C)(C)CC(C)(C)C)C(C)(C)CC(C)(C)C,UHPDROGOQWZCNC-UHFFFAOYSA-N,-6.6925825623,1
130,A-1179,CCCCC(CC)COC(=O)Nc1ccc(C)c(NC(=O)OCCN(C)C)c1.CC(O)C(O)=O,HYNJGJWCXRMUIG-UHFFFAOYSA-N,-0.2351938248,1
131,A-118,CCCCOCCOCCOCc1cc2OCOc2cc1CCC,FIPWRIJSWJWJAI-UHFFFAOYSA-N,-4.1510889183,1
132,A-1181,CCC(C)CCCC(C)(C)O,WRFXXJKURVTLSY-UHFFFAOYSA-N,-2.7493446847,1
133,A-1182,[Na+].ClN1C(=O)[N-]C(=O)N(Cl)C1=O,MSFGZHUJTJBYFA-UHFFFAOYSA-M,-0.8951600114,1
134,A-1185,Nc1cc(ccc1O)[S](O)(=O)=O,ULUIMLJNTCECJU-UHFFFAOYSA-N,-1.8297447369,1
135,A-1186,C[C@]12CCC(=O)C=C1CC[C@H]3[C@@H]4CC[C@](O)(C(=O)CO)[C@@]4(C)C[C@H](O)[C@H]23,JYGXADMDTFJGBT-VWUMJDOOSA-N,-3.1121092438,1
136,A-1188,CCCCCCCC/C=C/CCCCCCCC(O)=O.NCCO,KGWDUNBJIMUFAP-RRABGKBLSA-N,-3.0888344498,1
137,A-119,CF,NBVXSUQYWXRMNV-UHFFFAOYSA-N,-0.1758743765,1
138,A-1193,CC(CO)CCC1CC=C(C)C1(C)C,CYVGAJHMMVDTDZ-UHFFFAOYSA-N,-3.8427464064,1
139,A-1196,CCCCCCCCCCCC(=O)N(C)C,BDYUSDIJIDGWCY-UHFFFAOYSA-N,-3.9093070505,1
140,A-1197,CC(C)(C)C1CCC(O)CC1,CCOQPGVQAWPUPE-UHFFFAOYSA-N,-3.1032621252,1
141,A-1199,CCCCCCCCCCCCCCN(C)C,SFBHPFQSSDCYSL-UHFFFAOYSA-N,-3.9356925608,1
142,A-12,CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C1CC(O)C2(O)C(=O)CO,SEKYBDYVXDAYPY-UHFFFAOYSA-N,-2.6645485391,1
143,A-1203,CCCCl,SNMVRZFUUCLYTO-UHFFFAOYSA-N,-1.4534068203,1
144,A-1204,[Zn++].CC(C)CC(C)O[P]([S-])(=S)OC(C)C.CC(C)CC(C)O[P]([S-])(=S)OC(C)C,ZLJYMIJYVMPKAH-UHFFFAOYSA-L,-2.3189749133,1
145,A-1205,[O-][N+](=O)c1cccc(Cl)c1,KMAQZIILEGKYQZ-UHFFFAOYSA-N,-2.7612722995,1
146,A-1206,CC(=O)c1ccc2ccccc2c1,XSAYZAUNJMRRIR-UHFFFAOYSA-N,-2.7964187192,1
147,A-1207,[Na+].[Na+].Nc1ccc(N=Nc2ccc(N[S](=O)(=O)c3ccc(cc3)N=Nc4c(O)c5c(N)c(N=Nc6ccc(cc6)[N+]([O-])=O)c(cc5cc4[S]([O-])(=O)=O)[S]([O-])(=O)=O)cc2)c(N)c1,UMXKOPCQCFDBHS-UHFFFAOYSA-L,-0.5256786207,1
148,A-1209,CC(Cl)CCl,KNKRKFALVUDBJE-UHFFFAOYSA-N,-1.6216647134,1
149,A-1211,CCNc1ccccc1,OJGMBLNIHDZDGS-UHFFFAOYSA-N,-1.6520779355,1
150,A-1212,CC(C)CCOCCC(C)C,AQZGPSLYZOOYQP-UHFFFAOYSA-N,-3.7601070667,1
151,A-1213,[Na+].CN(c1ccccc1)[S](=O)(=O)C2=CC(=O)C3=C(NNc4ccc(NC(=O)CCl)cc4[S]([O-])(=O)=O)C(=N)C=CC3=C2,NVRGYEUIJNZYKB-UHFFFAOYSA-M,-4.3588570696,1
152,A-1214,Cc1ccc(Cl)c(Cl)c1,WYUIWKFIFOJVKW-UHFFFAOYSA-N,-3.7755457257,1
153,A-1215,COc1cc(c(OC)cc1N)[S](=O)(=O)Nc2ccccc2,NFYQAEPHDGXJSY-UHFFFAOYSA-N,-4.0576928644,1
154,A-1219,CC(=O)CC(c1ccccc1)C2=C(O)Oc3ccccc3C2=O,QTXVAVXCBMYBJW-UHFFFAOYSA-N,-3.0625087471,1
155,A-122,C(COc1ccccc1)Oc2ccccc2,XCSGHNKDXGYELG-UHFFFAOYSA-N,-3.9885265275,1
156,A-1220,[H+].[Cl-].CC1=CC(C=CC1=N)=C(c2ccc(N)cc2)c3ccc(N)cc3,AXDJCCTWPBKUKL-UHFFFAOYSA-N,-2.1054831912,1
157,A-1222,CC(C)CO[P](=O)(OCC(C)C)OCC(C)C,HRKAMJBPFPHCSD-UHFFFAOYSA-N,-3.0021546468,1
158,A-1225,COC(=O)c1ccccc1C,WVWZECQNFWFVFW-UHFFFAOYSA-N,-1.7566476759,1
159,A-1226,CC(C)=C,VQTUBCCKSQIDNK-UHFFFAOYSA-N,-2.3290690398,1
160,A-1227,CC(=O)OC[C@@H](OC(C)=O)C=C,MWWXARALRVYLAE-QMMMGPOBSA-N,-0.8176814122,1
161,A-1228,Nc1cccc(O)c1,CWLKGDAVCFYWJK-UHFFFAOYSA-N,-0.6229628479,1
162,A-123,CCc1cc(Cc2cc(CC)c(N)c(CC)c2Cl)c(Cl)c(CC)c1N,VIOMIGLBMQVNLY-UHFFFAOYSA-N,-7.2780387128,1
163,A-1231,CCCc1nc(C)c2n1NC(=NC2=O)c3cc(ccc3OCC)[S](=O)(=O)N4CCN(CC)CC4,SECKRCOLJRRGGV-UHFFFAOYSA-N,-4.8438678664,1
164,A-1232,CCCCCCCC/C=C/CCCCCCCC(=O)NCCCN(C)C,UCWYGNTYSWIDSW-VAWYXSNFSA-N,-4.1492593891,1
165,A-1233,Cc1c(Cl)cccc1Cl,DMEDNTFWIHCBRK-UHFFFAOYSA-N,-3.7919361419,1
166,A-1234,O=C1CCCCCCCCCCC1,SXVPOSFURRDKBO-UHFFFAOYSA-N,-3.8458299965,1
167,A-1235,CC(C)=CCCC(C)(O)C#C,YWTIDNZYLFTNQQ-UHFFFAOYSA-N,-1.7720804309,1
168,A-1236,Cc1ccc(cc1[N+]([O-])=O)C(O)=O,BBEWSMNRCUXQRF-UHFFFAOYSA-N,-2.8480980227,1
169,A-1237,COc1ccc(cc1N)[S](O)(=O)=O,FLIOATBXVNLPLK-UHFFFAOYSA-N,-0.8997243446,1
170,A-1239,Oc1ccc(cc1O)C(=O)c2ccccc2,ARWCZKJISXFBGI-UHFFFAOYSA-N,-2.9226200497,1
171,A-124,[Na+].Cc1cc(C)c(Nc2cc(c(N)c3C(=O)c4ccccc4C(=O)c23)[S]([O-])(=O)=O)c(C)c1CNC(=O)c5ccccc5,OFHDOLUPOLKDSG-UHFFFAOYSA-M,-1.4396051213,1
172,A-1240,CCN(CCO)c1ccc(cc1)N=Nc2sc3cc(OC)ccc3[n+]2C.CC([O-])=O,BLZWSNCCDXVOPZ-UHFFFAOYSA-M,-0.2262726911,1
173,A-1243,CCCC1C[C@](C)(CCO1)OC(C)=O.CCCC2C[C@@](C)(CCO2)OC(C)=O,TWUVPRFPARHRLV-URIZOGIISA-N,-2.2047232328,1
174,A-1245,CCCCC(CC)CN,LTHNHFOGQMKPOV-UHFFFAOYSA-N,-1.7134804626,1
175,A-1246,Cc1ccc(N)cc1Cl,RQKFYFNZSHWXAW-UHFFFAOYSA-N,-1.7531263117,1
176,A-1247,Oc1ccc(c(O)c1)C2=C(O)C(=O)c3c(O)cc(O)cc3O2,YXOLAZRVSSWPPT-UHFFFAOYSA-N,-3.0824090581,1
177,A-125,CCCC(CCC)C(O)=O,NIJJYAXOARWZEE-UHFFFAOYSA-N,-1.8579774272,1
178,A-1252,CC(c1ccc(O)cc1)(c2ccc(O)cc2)c3ccc(O)cc3,BRPSWMCDEYMRPE-UHFFFAOYSA-N,-4.086559757,1
179,A-1254,Cc1ccc(Cl)cc1Cl,FUNUTBJJKQIVSY-UHFFFAOYSA-N,-3.8089694812,1
180,A-1255,COC1OC(CO[S](=O)(=O)c2ccc(C)cc2)C3OC(C)(C)OC13,IAPMZKRZMYQZSW-UHFFFAOYSA-N,-4.1564425332,1
181,A-1256,COc1ccccc1C,DTFKRVXLBCAIOZ-UHFFFAOYSA-N,-2.6890833932,1
182,A-1258,OC(=O)Cc1ccc(Cl)cc1Cl,GXMWLJKTGBZMBH-UHFFFAOYSA-N,-2.9191416399,1
